bird;grup;X1;X2;X3;X4;X5
1;0;156;245;31,6;18,5;20,5
2;0;154;240;30,4;17,9;19,6
3;0;153;240;31;18,4;20,6
4;0;153;236;30,9;17,7;20,2
5;0;155;243;31,5;18,6;20,3
6;0;163;247;32;19;20,9
7;0;157;238;30,9;18,4;20,2
8;0;155;239;32,8;18,6;21,2
9;0;164;248;32,7;19,1;21,1
10;0;158;238;31;18,8;22
11;0;158;240;31,3;18,6;22
12;0;160;244;31,1;18,6;20,5
13;0;161;246;32,3;19,3;21,8
14;0;157;245;32;19,1;20
15;0;157;235;31,5;18,1;19,8
16;0;156;237;30,9;18;20,3
17;0;158;244;31,4;18,5;21,6
18;0;153;238;30,5;18,2;20,9
19;0;155;236;30,3;18,5;20,1
20;0;163;246;32,5;18,6;21,9
21;0;159;236;31,5;18;21,5
22;1;155;240;31,4;18;20,7
23;1;156;240;31,5;18,2;20,6
24;1;160;242;32,6;18,8;21,7
25;1;152;232;30,3;17,2;19,8
26;1;160;250;31,7;18,8;22,5
27;1;155;237;31;18,5;20
28;1;157;245;32,2;19,5;21,4
29;1;165;245;33,1;19,8;22,7
30;1;153;231;30,1;17,3;19,8
31;1;162;239;30,3;18;23,1
32;1;162;243;31,6;18,8;21,3
33;1;159;245;31,8;18,5;21,7
34;1;159;247;30,9;18,1;19
35;1;155;243;30,9;18,5;21,3
36;1;162;252;31,9;19,1;22,2
37;1;152;230;30,4;17,3;18,6
38;1;159;242;30,8;18,2;20,5
39;1;155;238;31,2;17,9;19,3
40;1;163;249;33,4;19,5;22,8
41;1;163;242;31;18,1;20,7
42;1;156;237;31,7;18,2;20,3
43;1;159;238;31,5;18,4;20,3
44;1;161;245;32,1;19,1;20,8
45;1;155;235;30,7;17,7;19,6
46;1;162;247;31,9;19,1;20,4
47;1;153;237;30,6;18,6;20,4
48;1;162;245;32,5;18,5;21,1
49;1;164;248;32,3;18,8;20,9
